"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.43229775895001,2.09519343442567,1.16089412986193,0.245717197271793
"countryArgentina",4.22038141053948,2.08225184060712,2.02683524069257,0.0427100744432839
"countryAustralia",5.0844326969509,2.08862783135283,2.43434115960126,0.0149391464283689
"countryAustria",4.99720664816107,2.07566840095867,2.40751684895962,0.0160823597005846
"countryBangladesh",3.73762141975945,2.18573685390149,1.71000521544389,0.0873010003945407
"countryBelarus",1.56419176088295,3.88270424795575,0.402861423634443,0.687060191310735
"countryBelgium",5.9864906117419,2.07700033391047,2.88227715422213,0.00395790697597456
"countryBrazil",3.5280818533719,2.08019645224201,1.69603301148282,0.0899158427444873
"countryBulgaria",3.84596677629159,2.5220803791858,1.52491839991761,0.127316244717519
"countryCambodia",5.73204665721244,2.39954694004115,2.38880372021984,0.0169247725874091
"countryCameroon",3.41177470705254,2.78259845034637,1.22611104977358,0.220190479270778
"countryCanada",3.57534946523674,2.15885965728186,1.65612871275677,0.0977322591824247
"countryChile",5.24771467513623,2.10466841967113,2.49336884902574,0.0126723921389648
"countryChina",5.05743702788416,2.0877917717414,2.42238574571343,0.0154395133820391
"countryColombia",6.07455531868607,2.0912225365252,2.90478665593362,0.00368440328500609
"countryCosta Rica",4.52746903054482,2.13449881688749,2.12109231203358,0.0339425822989113
"countryCroatia",5.10318589170391,2.12864335380007,2.39738887333741,0.0165335998549539
"countryCzech Republic",4.3278207094598,2.07766329717658,2.08302313244934,0.0372786015605193
"countryDenmark",4.85298650181954,2.08428514246871,2.32836976234041,0.0199155541922857
"countryEcuador",4.41101085730967,2.11052300663036,2.09000842134967,0.0366463597892886
"countryEgypt",3.19432260098701,2.08681548678433,1.5307163576351,0.125876311295426
"countryEstonia",6.22047330261758,2.77708289843331,2.23993072231544,0.0251208796956
"countryEthiopia",2.4683343047253,2.77038823504066,0.890970541061757,0.372969914063345
"countryFinland",5.50963847097742,2.09968609378725,2.6240296048442,0.0087049842782338
"countryFrance",4.73204076049632,2.0707184763877,2.28521685321087,0.0223243585068628
"countryGermany",3.99257600758082,2.072862853407,1.92611682003879,0.0541227305922866
"countryGhana",2.92055769282967,3.36570169039748,0.86774110170315,0.385560305749948
"countryGreece",5.15312476222656,2.07706588911228,2.48096355018808,0.0131217621806661
"countryGuatemala",3.2009371323819,2.37468117094383,1.34794395624473,0.177711933196707
"countryHong Kong - China",5.49616126234441,2.08364702273967,2.63776023595293,0.00836058671161952
"countryHungary",4.01640906407803,2.0833063914307,1.9279012825952,0.053900313251779
"countryIndia",3.23419692824079,2.08554032857834,1.55077170358315,0.120993222082522
"countryIndonesia",3.73865617052843,2.08721409290229,1.79121834374441,0.0732934359992611
"countryIran",4.68577876142543,2.16963708575702,2.15970624404703,0.0308229837685118
"countryIreland",6.47260160718463,2.07925740703776,3.11293906433927,0.00185842330493238
"countryIsrael",6.67351622922178,2.09117231400882,3.19127992682177,0.00142153504076415
"countryItaly",4.09996738028638,2.07317909906777,1.97762334287954,0.0480031077508961
"countryIvory Coast",1.67087507756499,2.74529704303699,0.608631798807675,0.542784606442216
"countryJapan",15.5818576826724,3.8622772860044,4.03437053552209,5.5222972695303e-05
"countryKenya",2.60823912659931,2.4509295516352,1.06418363794225,0.287275413326878
"countryKuwait",6.4756065631892,2.6892847560802,2.40792892926214,0.0160642314229018
"countryLaos",3.57306073341675,3.08886760045364,1.15675425288284,0.247404925630188
"countryLatvia",6.03703276798084,2.55878632322085,2.35933446774945,0.018329984854365
"countryLebanon",8.17223396445727,2.18711736488472,3.73653197385134,0.000187784357068968
"countryLithuania",3.70666998498822,2.47367792031194,1.49844486808566,0.134054430981598
"countryMalaysia",4.56983635086681,2.09354049482065,2.18282682478435,0.0290755325730788
