"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",5.62893988333612,2.6813574301374,2.09928740572557,0.0358110566005303
"countryArgentina",0.11404981438064,2.68787137687384,0.0424312767946829,0.966155555690517
"countryAustralia",1.24873886600205,2.69494820978216,0.463362843660357,0.643112165842389
"countryAustria",0.922081769124393,2.68603784189215,0.343286961465458,0.73138821256231
"countryBangladesh",-0.601755696843566,2.77119082224674,-0.217146972345879,0.828097260823644
"countryBelarus",-0.576091626780806,3.75665642895614,-0.153352226288334,0.878122928420609
"countryBelgium",2.45242545781242,2.68978287737408,0.911755918457856,0.36191434810076
"countryBrazil",-0.347064996413015,2.6871918269463,-0.129155273893273,0.897236810185678
"countryBulgaria",-0.0586310726678592,3.06571973610671,-0.0191247334116449,0.984741897969455
"countryCambodia",0.817972340709289,3.09361019734911,0.26440704824745,0.791470527416066
"countryCameroon",0.169489495845105,3.62254857935128,0.0467873631319133,0.962683428852988
"countryCanada",0.414102156979751,2.69067718975833,0.15390257833826,0.877688971304429
"countryChile",1.58198773159708,2.70347515676142,0.585168214932738,0.558444904321296
"countryChina",1.80707466044517,2.68655136880887,0.672637300527911,0.501190177267649
"countryColombia",1.9881949408264,2.69353827555534,0.738135024428597,0.460445900686521
"countryCosta Rica",0.448442282499608,2.73763812236602,0.163806267466804,0.869886237397717
"countryCroatia",1.66578937716896,2.74953034865459,0.605845059314973,0.544628360952415
"countryCzech Republic",0.654227907895185,2.6879491554939,0.243392962459133,0.807704885696281
"countryDenmark",0.8392331199174,2.69594344688285,0.31129477915709,0.755581592730669
"countryEcuador",0.802069589396454,2.71046330052303,0.295916048463626,0.767298983158284
"countryEgypt",-1.17996130037905,2.69572033479609,-0.437716511296898,0.66159916596031
"countryEstonia",2.74524611659397,3.34282832521253,0.821234550362211,0.411527936726614
"countryEthiopia",-1.90972091281243,3.34495806447965,-0.570925218193881,0.568060333536036
"countryFinland",2.3084035422423,2.7111274558441,0.851455189709473,0.39453243418852
"countryFrance",0.800221251844372,2.68117561688786,0.298459096376991,0.765357623212158
"countryGermany",0.0272041809096831,2.68272736612131,0.0101404940558738,0.991909352655273
"countryGhana",0.619906459006093,3.6234036070099,0.171084021058767,0.864160397496329
"countryGreece",1.37857869975582,2.68821953054546,0.512822217118591,0.608084514713578
"countryGuatemala",-1.17799919597977,2.97924844089551,-0.395401464278582,0.692553201470541
"countryHong Kong - China",2.0311250639426,2.68982799646436,0.755113362866477,0.450194824820601
"countryHungary",0.364454318081733,2.69434304170952,0.135266487021078,0.892403302642249
"countryIndia",-0.999542431048338,2.68520487074688,-0.37224065915325,0.709719823190677
"countryIndonesia",-0.339405117914266,2.69201452277086,-0.126078486963332,0.899671771724255
"countryIran",1.1900944739147,2.79131953370545,0.426355513779127,0.669855963930277
"countryIreland",2.92368253739973,2.69214252554783,1.08600585208793,0.277496803728799
"countryIsrael",2.91427512857086,2.70145738011767,1.07877886581498,0.280706595715858
"countryItaly",-0.0269471068397284,2.68333632881344,-0.0100423888538953,0.991987623770355
"countryIvory Coast",0.555520826425181,3.45211798910946,0.160921737952673,0.872157574262882
"countryJapan",2.66994613490816,2.70281925804095,0.987837468955799,0.323250879660391
"countryKenya",-1.05985615103444,3.03586628749364,-0.349111604618608,0.727011253107718
"countryKuwait",3.34858469754955,3.10535967970172,1.07832426608669,0.280909341069703
"countryLaos",-0.988915960268699,3.38356143872793,-0.292270726622445,0.770084364058494
"countryLatvia",2.74154458761257,3.0975119008013,0.885079597887373,0.376130286542698
"countryLebanon",4.28990105299224,2.81088202499412,1.52617613078272,0.126990652068156
"countryLithuania",0.279338743208576,3.09988046286931,0.0901127467831499,0.928199026389265
"countryMalaysia",0.596140163278482,2.70229156914416,0.220605418780655,0.825403191110701
"countryMexico",-0.735801642249934,2.69201076649775,-0.273327897275536,0.784605571352555
"countryMorocco",-0.570000633075311,2.7020922218175,-0.210947882708427,0.832931289384199
"countryMyanmar",-1.25417395809133,2.70988420157632,-0.462814594572636,0.643505117202009
"countryNetherlands",1.54371091321524,2.68913624040929,0.57405455700537,0.565940945007808
"countryNew Zealand",0.741488017494499,2.71118885714527,0.27349183570902,0.784479568967711
"countryNigeria",-0.71507729132505,2.69376080511224,-0.265456862379158,0.790661801211604
"countryNorway",3.342290234735,2.693322992729,1.24095410901625,0.214645388376153
"countryOman",-0.437619401452551,3.11127073059542,-0.140656162496281,0.888143785726934
"countryPakistan",-1.60799759243202,3.09133558507427,-0.520162741371668,0.602959125151218
"countryPanama",-0.820683775522934,3.09097601349419,-0.265509590478897,0.790621187961982
"countryPeru",0.626535575010346,2.70166060662953,0.231907580646106,0.816613494533602
"countryPhilippines",-0.0219171165310257,2.69546415869069,-0.00813111035454162,0.993512510473679
"countryPoland",-0.385741281292366,2.68557870192372,-0.143634323960066,0.885791490509163
"countryPortugal",1.2384115008417,2.69883919307222,0.458868206753719,0.646336583045075
"countryPuerto Rico",0.69186201092674,2.71511486192893,0.254818689488227,0.798867223068056
"countryQatar",1.1506842153576,2.89935643714405,0.396875734427139,0.691465699156881
"countryRomania",-0.191190508602074,2.70070080756887,-0.0707929245869263,0.943563666259007
"countryRussia",0.177122237532896,2.69240325259133,0.0657859246613313,0.947549287278857
"countrySaudi Arabia",1.63239659873842,2.6898682018302,0.606868618182753,0.543948842726053
"countrySerbia",0.45552692503351,3.02763950376954,0.150456130746861,0.88040712409456
"countrySingapore",2.05978646355577,2.70016790045426,0.762836438137511,0.445574969831083
"countrySlovakia",0.324221613267677,2.70664297744217,0.119787358720681,0.904653471383419
"countrySlovenia",0.0791840712854211,2.89380439189993,0.0273633116001433,0.978170385898595
"countrySouth Africa",-0.948955242373036,2.68867696548627,-0.352945056083154,0.724135429109779
"countrySouth Korea",1.83620461258902,2.70330761635037,0.679243679662327,0.496995726582243
"countrySpain",1.20971892049981,2.68689784496037,0.450228847653737,0.652553043576947
"countrySri Lanka",-0.797552434189994,2.72840485730425,-0.292314548573998,0.770050862118285
"countrySweden",1.06614598506741,2.69270082025499,0.395939265531346,0.692156416266533
"countrySwitzerland",1.83675075584348,2.69259256977323,0.682149529959586,0.495156716883629
"countryTaiwan - China",2.04597555950863,2.69764248341466,0.758430952984862,0.448206962907293
"countryTanzania",-0.784906862210603,3.10734824310884,-0.252597005807537,0.800583689936964
"countryThailand",0.93624900207636,2.68715237745217,0.348416788691405,0.727532911744243
"countryTunisia",-1.05201754549432,2.94146956936984,-0.357650324330806,0.720610894821194
"countryTurkey",1.70192999804079,2.69443000677125,0.631647507548443,0.527628487792057
"countryUAE",2.02817130508532,2.7077359736083,0.749028459515053,0.453853782077364
"countryUK",1.31686365823746,2.68235411939801,0.490935797296219,0.623480252916728
"countryUkraine",-1.47159684183528,2.71493269718241,-0.54203805617816,0.587801701582248
