"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",2.48879979399772,2.0940864643246,1.18848950909982,0.234673451308949
"countryArgentina",4.20658915875766,2.0810850299254,2.02134420183132,0.0432750840597861
"countryAustralia",5.07845457424255,2.08745395558527,2.43284627220373,0.0150009221538109
"countryAustria",4.99306219314965,2.07450139974717,2.40687337871074,0.0161107057185359
"countryBangladesh",3.71856573853977,2.18451534555106,1.70223832307377,0.0887468668299451
"countryBelarus",1.52324518262345,3.88054078814792,0.392534253801892,0.694673242070168
"countryBelgium",5.98245929397146,2.07583256248108,2.88195657111241,0.00396193319682968
"countryBrazil",3.51894386641679,2.07902839765033,1.69259057278574,0.0905696736794789
"countryBulgaria",3.85449667954238,2.52066327284811,1.52915969422094,0.126261663905403
"countryCambodia",5.73306077375415,2.39819741668789,2.39057082367805,0.0168436014348085
"countryCameroon",3.41812587535307,2.781034151931,1.22908446592779,0.219073790316585
"countryCanada",3.55679054927362,2.15765295642774,1.64845349140963,0.0992961997930378
"countryChile",5.27475899900479,2.10350100490572,2.5076094504843,0.0121733842030196
"countryChina",5.04746398284144,2.08661979676932,2.41896678573469,0.0155852951536331
"countryColombia",6.08941833815656,2.09005134976147,2.91352570780212,0.00358293515771235
"countryCosta Rica",4.5282132644907,2.13329835289819,2.12263477274002,0.0338129808839156
"countryCroatia",5.10105765434676,2.12744627056686,2.39773747751927,0.0165178877491599
"countryCzech Republic",4.31934341683446,2.0764964070728,2.08011119216111,0.0375448957121281
"countryDenmark",4.84827748374283,2.08311340583668,2.32741888663308,0.0199660863019345
"countryEcuador",4.36621387579874,2.1093805707199,2.06990333390082,0.0384912037339404
"countryEgypt",3.20124307307671,2.08564290394767,1.53489509973997,0.124846409116386
"countryEstonia",6.22300721573718,2.77552113109879,2.24210406687611,0.0249800510766791
"countryEthiopia",2.47664183002982,2.76883129190909,0.894471915738208,0.371094498859615
"countryFinland",5.50550796062542,2.09850557763168,2.62353744460322,0.00871756271151747
"countryFrance",4.73311019449138,2.06955389719998,2.28701953638177,0.0222188800269818
"countryGermany",3.98874560031818,2.07169737398755,1.92535147768265,0.0542183619903283
"countryGhana",2.90043207454084,3.36381440542325,0.862244976971581,0.388576783071681
"countryGreece",5.14539486977941,2.07589906218373,2.47863442086954,0.0132076890520375
"countryGuatemala",3.19920595616824,2.37334567155113,1.3479730300211,0.17770258607628
"countryHong Kong - China",5.47996341819312,2.08248104698892,2.63145896387227,0.00851709682268176
"countryHungary",4.01648570675885,2.08213470684962,1.92902298470208,0.0537608979056248
"countryIndia",3.23477416332273,2.08436739494996,1.55192130291426,0.120717877510657
"countryIndonesia",3.72231836499284,2.08604620312583,1.78438922369751,0.0743957078482479
"countryIran",4.6334752969935,2.16847593128886,2.13674278332411,0.0326470744034901
"countryIreland",6.4802608090924,2.07808932162679,3.11837452878082,0.00182452429949831
"countryIsrael",6.64572295610754,2.0900135150851,3.1797511873204,0.00147924830729721
"countryItaly",4.0950576778456,2.07201365495331,1.97636616344494,0.0481452452072404
"countryIvory Coast",1.65245460646763,2.74375883603374,0.602259420458523,0.547017357221795
"countryJapan",15.6011640566156,3.86010960201286,4.0416375867878,5.35420812171789e-05
"countryKenya",2.60596094724634,2.44955120902932,1.06385240595929,0.287425456934592
"countryKuwait",6.49792283445651,2.68778093724113,2.41757903124586,0.0156448117112936
"countryLaos",3.57105178405864,3.08713043331901,1.15675442330416,0.24740485972753
"countryLatvia",6.04596910355598,2.55734868348642,2.36415516687132,0.0180933523666371
"countryLebanon",8.1782492685565,2.18588807048157,3.74138519670623,0.000184200240821411
"countryLithuania",3.70675712138049,2.47228668457392,1.49932333677529,0.133826502830783
"countryMalaysia",4.56009481155626,2.09236517838775,2.17939720019141,0.0293292335846503
"countryMexico",3.35887134323926,2.09306547057347,1.6047617193355,0.1085829973711
"countryMorocco",3.5939724950256,2.08752459112016,1.72164318940889,0.0851701601128586
"countryMyanmar",3.38265597704921,2.10389020951973,1.60781012323899,0.107913504920267
"countryNetherlands",5.30265039311524,2.07737748193909,2.55256949650074,0.010710293815089
"countryNew Zealand",4.43551677518749,2.09931076996497,2.11284429092006,0.034642854232835
"countryNigeria",3.48929136941711,2.08281392858344,1.6752775279308,0.0939161725853352
"countryNorway",6.55655031880916,2.08122488186058,3.1503324681318,0.00163644220836254
"countryOman",3.36445166020935,2.54412050273475,1.3224419427432,0.186056221770138
"countryPakistan",2.37789641748854,2.64520252986411,0.898946825674896,0.368706170239056
"countryPanama",4.2287216724389,2.54547120961576,1.66127263842722,0.0966951781455478
