,country,company,total_pack_size_ml_g,unit_pack_size_ml_g,price_per_100g_ml_dollars,ingredients
1,Brazil,Brand 1,90.0,90.0,1.22
2,Vietnam,Brand 2,120.0,120.0,1.26
3,UK,Brand 3,100.0,100.0,4.92
4,Thailand,Brand 4,160.0,160.0,0.79
5,Thailand,Brand 5,124.0,124.0,3.85
6,Thailand,Brand 6,125.0,125.0,2.39
7,Argentina,Brand 0,75.0,75.0,2.61
8,Israel,Brand 7,75.0,75.0,5.28
9,Saudi Arabia,Brand 1,75.0,75.0,5.51
10,Austria,Brand 0,75.0,75.0,4.69
11,Austria,Brand 8,75.0,75.0,3.75
12,Austria,Brand 9,50.0,50.0,28.24
13,Indonesia,Brand 10,150.0,150.0,0.61
14,China,Brand 11,220.0,220.0,0.66
15,Malaysia,Brand 9,100.0,100.0,5.83
16,Malaysia,Brand 12,40.0,40.0,2.48
17,China,Brand 13,105.0,105.0,1.05
18,Colombia,Brand 0,75.0,75.0,3.09
19,China,Brand 14,130.0,130.0,3.15
20,Austria,Brand 15,125.0,125.0,1.09
21,Russia,Brand 16,120.0,120.0,12.52
22,Colombia,Brand 17,140.0,140.0,3.06
23,Italy,Brand 18,75.0,75.0,1.99
24,Brazil,Brand 19,50.0,50.0,16.36
25,Italy,Brand 1,75.0,75.0,3.95
26,Thailand,Brand 20,160.0,160.0,0.88
27,Israel,Brand 5,75.0,75.0,9.08
28,Australia,Brand 21,50.0,50.0,9.28
29,Chile,Brand 22,120.0,120.0,1.33
30,Spain,Brand 8,150.0,75.0,2.73
31,Spain,Brand 23,75.0,75.0,2.16
32,Italy,Brand 24,50.0,50.0,29.16
33,Brazil,Brand 25,90.0,90.0,0.7
34,Brazil,Brand 1,180.0,90.0,0.96
35,Brazil,Brand 26,90.0,90.0,1.37
36,Vietnam,Brand 8,50.0,50.0,1.7
37,Spain,Brand 27,75.0,75.0,11.28
38,Greece,Brand 28,50.0,50.0,6.34
39,Spain,Brand 24,75.0,75.0,3.77
40,Spain,Brand 29,75.0,75.0,13.19
41,Poland,Brand 21,20.0,20.0,4.45
