,country,company,total_pack_size_ml_g,unit_pack_size_ml_g,price_per_100g_ml_dollars,ingredients
0,Vietnam,Brand 0,130.0,130.0,0.32,22
1,Brazil,Brand 1,90.0,90.0,1.22,34
2,Vietnam,Brand 2,120.0,120.0,1.26,26
3,UK,Brand 3,100.0,100.0,4.92,21
4,Thailand,Brand 4,160.0,160.0,0.79,27
5,Thailand,Brand 5,124.0,124.0,3.85,32
6,Thailand,Brand 6,125.0,125.0,2.39,31
7,Argentina,Brand 0,75.0,75.0,2.61,18
8,Israel,Brand 7,75.0,75.0,5.28,12
9,Saudi Arabia,Brand 1,75.0,75.0,5.51,35
10,Austria,Brand 0,75.0,75.0,4.69,26
11,Austria,Brand 8,75.0,75.0,3.75,31
12,Austria,Brand 9,50.0,50.0,28.24,26
13,Indonesia,Brand 10,150.0,150.0,0.61,17
14,China,Brand 11,220.0,220.0,0.66,11
15,Malaysia,Brand 9,100.0,100.0,5.83,21
16,Malaysia,Brand 12,40.0,40.0,2.48,24
17,China,Brand 13,105.0,105.0,1.05,13
18,Colombia,Brand 0,75.0,75.0,3.09,32
19,China,Brand 14,130.0,130.0,3.15,3
20,Austria,Brand 15,125.0,125.0,1.09,23
21,Russia,Brand 16,120.0,120.0,12.52,25
22,Colombia,Brand 17,140.0,140.0,3.06,29
23,Italy,Brand 18,75.0,75.0,1.99,23
24,Brazil,Brand 19,50.0,50.0,16.36,29
25,Italy,Brand 1,75.0,75.0,3.95,36
26,Thailand,Brand 20,160.0,160.0,0.88,25
27,Israel,Brand 5,75.0,75.0,9.08,27
28,Australia,Brand 21,50.0,50.0,9.28,25
29,Chile,Brand 22,120.0,120.0,1.33,6
30,Spain,Brand 8,150.0,75.0,2.73,25
31,Spain,Brand 23,75.0,75.0,2.16,20
32,Italy,Brand 24,50.0,50.0,29.16,33
33,Brazil,Brand 25,90.0,90.0,0.7,18
34,Brazil,Brand 1,180.0,90.0,0.96,15
35,Brazil,Brand 26,90.0,90.0,1.37,27
36,Vietnam,Brand 8,50.0,50.0,1.7,19
37,Spain,Brand 27,75.0,75.0,11.28,23
38,Greece,Brand 28,50.0,50.0,6.34,30
39,Spain,Brand 24,75.0,75.0,3.77,24
40,Spain,Brand 29,75.0,75.0,13.19,25
41,Poland,Brand 21,20.0,20.0,4.45,26
42,Poland,Brand 0,25.0,25.0,3.56,33
43,USA,Brand 30,50.28,50.28,13.92,23
44,China,Brand 1,100.0,100.0,1.1,32
45,Taiwan - China,Brand 0,110.0,110.0,5.12,2
46,Japan,Brand 31,80.0,80.0,11.05,17
47,Spain,Brand 32,100.0,100.0,15.25,27
48,Czech Republic,Brand 33,50.0,50.0,13.06,22
49,China,Brand 34,90.0,90.0,0.47,0
50,Russia,Brand 35,45.0,45.0,10.73,25
51,Taiwan - China,Brand 0,160.0,160.0,1.56,9
52,Chile,Brand 1,120.0,120.0,2.11,42
53,Switzerland,Brand 15,75.0,75.0,3.24,18
54,Czech Republic,Brand 36,100.0,100.0,5.7,23
55,Australia,Brand 0,220.0,110.0,1.68,28
56,India,Brand 37,100.0,100.0,0.52,18
57,Mexico,Brand 38,100.0,100.0,0.79,25
58,Russia,Brand 39,50.0,50.0,6.98,20
59,Russia,Brand 39,75.0,75.0,21.89,26
60,Russia,Brand 21,50.0,50.0,1.92,30
61,Canada,Brand 40,100.0,100.0,5.64,21
62,South Africa,Brand 41,75.0,75.0,7.0,16
63,Vietnam,Brand 2,120.0,120.0,1.32,0
64,Czech Republic,Brand 5,75.0,75.0,2.76,28
65,Spain,Brand 42,24.0,6.0,20.17,21
66,Germany,Brand 43,75.0,75.0,2.85,24
67,Germany,Brand 9,50.0,50.0,14.3,30
68,China,Brand 44,100.0,100.0,5.26,22
69,Malaysia,Brand 45,130.0,130.0,5.27,26
70,South Africa,Brand 46,50.0,50.0,1.94,20
71,USA,Brand 47,113.4,113.4,4.4,32
72,India,Brand 48,80.0,80.0,0.68,5
73,Netherlands,Brand 49,50.0,50.0,20.38,27
74,Canada,Brand 50,100.0,100.0,3.47,22
75,Belgium,Brand 1,75.0,75.0,3.47,23
76,Belgium,Brand 1,75.0,75.0,5.01,21
77,Greece,Brand 1,75.0,75.0,4.6,30
78,Spain,Brand 21,125.0,125.0,9.28,25
79,Turkey,Brand 0,75.0,75.0,10.96,8
80,Russia,Brand 51,100.0,100.0,0.73,20
81,Russia,Brand 52,50.0,50.0,2.6,20
82,Russia,Brand 52,75.0,75.0,6.51,30
83,Russia,Brand 53,125.0,125.0,0.74,19
84,Netherlands,Brand 54,100.0,100.0,21.91,13
85,Colombia,Brand 55,75.0,75.0,22.87,27
86,Colombia,Brand 55,50.0,50.0,26.66,22
87,Brazil,Brand 0,50.0,50.0,11.0,28
88,Argentina,Brand 0,75.0,75.0,4.48,43
89,Australia,Brand 0,110.0,110.0,1.67,22
90,New Zealand,Brand 0,110.0,110.0,1.78,21
91,USA,Brand 56,170.1,170.1,3.52,34
92,Russia,Brand 57,63.0,63.0,1.0,24
93,Mexico,Brand 0,75.0,75.0,5.11,11
94,Poland,Brand 58,100.0,100.0,6.57,26
95,Poland,Brand 59,125.0,125.0,1.1,34
96,Germany,Brand 60,125.0,125.0,1.07,25
97,Brazil,Brand 21,70.0,70.0,13.71,45
98,Czech Republic,Brand 61,65.0,65.0,1.69,14
99,Czech Republic,Brand 62,75.0,75.0,1.47,16
100,Brazil,Brand 0,90.0,90.0,2.3,24
101,France,Brand 63,75.0,75.0,11.19,23
